mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
random,latest,avoid_walls,exclude_walls,2,0.99,157.61999999999998,16.675658907521466
handcrafted,latest,avoid_walls,exclude_walls,2,0.8,157.06,12.048169985520621
handcrafted,latest,avoid_walls,exclude_walls,2,0.9,157.06,12.048169985520621
handcrafted,latest,avoid_walls,exclude_walls,2,0.99,157.06,12.048169985520621
handcrafted,latest,avoid_walls,include_walls,2,0.8,157.06,12.048169985520621
handcrafted,latest,avoid_walls,include_walls,2,0.9,157.06,12.048169985520621
handcrafted,latest,avoid_walls,include_walls,2,0.99,157.06,12.048169985520621
handcrafted,latest_strongest,random,False,2,0.7,127.55999999999999,31.633627676888402
random,random,random,include_walls,2,0.9,126.52000000000001,17.799146046931583
random,random,random,include_walls,2,0.99,126.52000000000001,17.799146046931583
random,random,random,include_walls,2,0.8,126.51999999999998,17.799146046931583
random,latest_strongest,random,False,2,0.7,125.46,17.13763110817828
random,random,random,exclude_walls,2,0.7,125.04,14.784667733838317
handcrafted,random,random,False,2,0.8,124.52000000000001,17.872817349259737
handcrafted,random,random,False,2,0.9,123.78,18.41123569997408
handcrafted,random,random,False,2,0.99,123.78,18.411235699974075
random,latest_strongest,random,False,2,0.8,122.9,20.198019704911665
random,latest_strongest,random,False,2,0.9,122.9,20.198019704911665
random,latest_strongest,random,False,2,0.99,122.9,20.198019704911665
handcrafted,latest_strongest,random,exclude_walls,2,0.7,122.3,15.433210942639255
handcrafted,latest_strongest,random,include_walls,2,0.7,122.29999999999998,15.433210942639255
random,latest_strongest,random,exclude_walls,2,0.7,121.54,17.077657919047336
random,random,random,exclude_walls,2,0.8,121.5,10.38999518767935
random,random,random,exclude_walls,2,0.9,121.5,10.38999518767935
random,random,random,exclude_walls,2,0.99,121.49999999999997,10.38999518767935
handcrafted,random,random,False,2,0.7,121.4,21.093506109701156
handcrafted,latest_strongest,random,False,2,0.9,117.35999999999999,13.37723439280332
handcrafted,latest_strongest,random,False,2,0.99,117.35999999999999,13.37723439280332
handcrafted,latest,random,False,2,0.7,116.8,27.50890764825096
handcrafted,random,random,exclude_walls,2,0.8,116.4,21.360524338133644
