mm_policy,qa_function,explore_policy,save_agent_as_episodic,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
random,latest_strongest,avoid_walls,False,exclude_walls,2,0.9,142.44,4.248576232104117
random,latest_strongest,avoid_walls,False,exclude_walls,2,0.99,142.44,4.248576232104117
random,latest_strongest,avoid_walls,False,exclude_walls,2,0.5,142.38,5.673235408477248
random,random,avoid_walls,False,include_walls,2,0.9,141.96,8.162989648407013
random,random,avoid_walls,False,include_walls,2,0.99,141.95999999999998,8.162989648407013
random,random,random,False,exclude_walls,2,0.9,141.7,7.374822031751001
random,random,random,False,exclude_walls,2,0.99,141.7,7.374822031751001
semantic,strongest,avoid_walls,False,False,2,0.7,141.6,18.507620052291976
random,latest_strongest,random,False,False,2,0.7,141.45999999999998,5.936530973556868
random,latest_strongest,random,False,False,2,0.9,141.22000000000003,5.793582656698698
random,latest_strongest,random,False,False,2,0.99,141.22,5.793582656698698
random,latest_strongest,avoid_walls,False,False,2,0.9,141.06,9.451899280038901
random,latest_strongest,avoid_walls,False,False,2,0.99,141.06,9.451899280038901
episodic,latest,random,False,False,2,1.0,139.54000000000002,6.173686095032695
random,latest_strongest,avoid_walls,False,False,2,0.7,139.14,6.177896082000732
semantic,strongest,random,False,include_walls,2,0.5,139.06,2.9628364787817785
random,random,avoid_walls,False,include_walls,2,0.7,138.8,8.929277686352911
random,random,random,False,False,2,0.9,138.4,7.90645306063345
random,random,random,False,False,2,0.99,138.4,7.90645306063345
semantic,strongest,avoid_walls,False,include_walls,2,0.7,138.38000000000002,11.09403443297342
random,random,random,False,include_walls,2,0.5,138.18,4.353113828054585
random,latest_strongest,random,False,exclude_walls,2,0.5,137.95999999999998,7.307694574898439
random,latest_strongest,random,False,include_walls,2,0.5,137.95999999999998,7.43844069681274
random,random,random,False,exclude_walls,2,0.7,137.8,4.98517803092327
random,latest_strongest,avoid_walls,False,False,2,0.5,137.56,5.909517746821652
random,latest_strongest,random,False,include_walls,2,0.7,137.52,6.08453778030837
random,latest_strongest,random,False,False,2,0.5,136.68,5.858463962507578
random,latest_strongest,random,False,exclude_walls,2,0.9,136.5,8.346017014121161
random,latest_strongest,random,False,exclude_walls,2,0.99,136.5,8.346017014121161
semantic,strongest,random,False,include_walls,2,0.7,136.0,17.73121541237374
random,latest_strongest,random,False,include_walls,2,0.9,135.68,7.431392870788085
