mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
random,random,random,False,2,0.9,83.3,0.0
random,random,random,False,2,0.99,83.3,0.0
handcrafted,latest_strongest,random,exclude_walls,2,0.9,83.2,0.0
handcrafted,latest_strongest,random,exclude_walls,2,0.99,83.2,0.0
handcrafted,latest_strongest,random,include_walls,2,0.9,83.2,0.0
handcrafted,latest_strongest,random,include_walls,2,0.99,83.2,0.0
handcrafted,latest_strongest,random,False,2,0.8,80.9,0.0
random,latest,random,False,2,0.8,78.7,0.0
random,latest,random,False,2,0.9,78.7,0.0
random,latest,random,False,2,0.99,78.7,0.0
handcrafted,latest_strongest,random,exclude_walls,2,0.8,78.1,0.0
handcrafted,latest_strongest,random,include_walls,2,0.8,78.1,0.0
handcrafted,latest,random,False,2,0.9,76.0,0.0
handcrafted,latest,random,False,2,0.99,76.0,0.0
random,latest_strongest,random,exclude_walls,2,0.8,73.6,0.0
random,latest_strongest,random,exclude_walls,2,0.9,73.6,0.0
random,latest_strongest,random,exclude_walls,2,0.99,73.6,0.0
handcrafted,latest,random,exclude_walls,2,0.9,72.9,0.0
handcrafted,latest,random,exclude_walls,2,0.99,72.9,0.0
handcrafted,latest,random,include_walls,2,0.9,72.9,0.0
handcrafted,latest,random,include_walls,2,0.99,72.9,0.0
handcrafted,latest,random,False,2,0.8,71.9,0.0
handcrafted,latest,random,exclude_walls,2,0.8,70.1,0.0
handcrafted,latest,random,include_walls,2,0.8,70.1,0.0
random,latest,random,exclude_walls,2,0.8,62.5,0.0
random,latest,random,exclude_walls,2,0.9,62.5,0.0
random,latest,random,exclude_walls,2,0.99,62.5,0.0
semantic,strongest,random,include_walls,2,0.8,57.5,0.0
semantic,strongest,random,False,2,0.8,57.0,0.0
semantic,strongest,avoid_walls,include_walls,2,0.8,54.2,0.0
semantic,strongest,avoid_walls,exclude_walls,2,0.99,52.8,0.0
semantic,strongest,avoid_walls,False,2,0.9,52.5,0.0
semantic,strongest,avoid_walls,include_walls,2,0.99,51.0,0.0
semantic,strongest,avoid_walls,exclude_walls,2,0.8,50.6,0.0
semantic,strongest,random,include_walls,2,0.9,50.6,0.0
semantic,strongest,avoid_walls,False,2,0.99,49.7,0.0
semantic,strongest,avoid_walls,exclude_walls,2,0.9,49.6,0.0
semantic,strongest,avoid_walls,include_walls,2,0.9,48.3,0.0
semantic,strongest,random,exclude_walls,2,0.99,47.5,0.0
semantic,strongest,random,False,2,0.99,47.2,0.0
semantic,strongest,random,include_walls,2,0.99,46.2,0.0
semantic,strongest,avoid_walls,False,2,0.8,46.0,0.0
semantic,strongest,random,False,2,0.9,45.7,0.0
semantic,strongest,random,exclude_walls,2,0.8,42.2,0.0
semantic,strongest,random,exclude_walls,2,0.9,40.4,0.0
random,strongest,random,include_walls,2,0.8,30.8,0.0
random,strongest,random,include_walls,2,0.9,30.8,0.0
random,strongest,random,include_walls,2,0.99,30.8,0.0
handcrafted,strongest,random,False,2,0.9,29.4,0.0
handcrafted,strongest,random,False,2,0.99,29.4,0.0
random,strongest,avoid_walls,include_walls,2,0.8,26.9,0.0
random,strongest,avoid_walls,include_walls,2,0.9,26.9,0.0
random,strongest,avoid_walls,include_walls,2,0.99,26.9,0.0
random,strongest,avoid_walls,False,2,0.8,26.7,0.0
random,strongest,avoid_walls,False,2,0.9,26.7,0.0
random,strongest,avoid_walls,False,2,0.99,26.7,0.0
handcrafted,strongest,avoid_walls,False,2,0.8,26.0,0.0
handcrafted,strongest,avoid_walls,False,2,0.9,26.0,0.0
handcrafted,strongest,avoid_walls,False,2,0.99,26.0,0.0
random,strongest,random,False,2,0.8,25.1,0.0
random,strongest,random,False,2,0.9,25.1,0.0
random,strongest,random,False,2,0.99,25.1,0.0
random,strongest,avoid_walls,exclude_walls,2,0.8,24.5,0.0
random,strongest,avoid_walls,exclude_walls,2,0.9,24.5,0.0
random,strongest,avoid_walls,exclude_walls,2,0.99,24.5,0.0
random,strongest,random,exclude_walls,2,0.8,23.5,0.0
random,strongest,random,exclude_walls,2,0.9,23.5,0.0
random,strongest,random,exclude_walls,2,0.99,23.5,0.0
handcrafted,strongest,random,exclude_walls,2,0.9,23.2,0.0
handcrafted,strongest,random,exclude_walls,2,0.99,23.2,0.0
handcrafted,strongest,random,include_walls,2,0.9,23.2,0.0
handcrafted,strongest,random,include_walls,2,0.99,23.2,0.0
handcrafted,strongest,random,exclude_walls,2,0.8,21.6,0.0
handcrafted,strongest,random,include_walls,2,0.8,21.6,0.0
handcrafted,strongest,avoid_walls,exclude_walls,2,0.8,21.0,0.0
handcrafted,strongest,avoid_walls,exclude_walls,2,0.9,21.0,0.0
handcrafted,strongest,avoid_walls,exclude_walls,2,0.99,21.0,0.0
handcrafted,strongest,avoid_walls,include_walls,2,0.8,21.0,0.0
handcrafted,strongest,avoid_walls,include_walls,2,0.9,21.0,0.0
handcrafted,strongest,avoid_walls,include_walls,2,0.99,21.0,0.0
handcrafted,strongest,random,False,2,0.8,20.7,0.0
handcrafted,random,avoid_walls,include_walls,6,0.9,170.5,0.0
handcrafted,latest_strongest,avoid_walls,False,6,0.8,169.4,0.0
handcrafted,latest_strongest,avoid_walls,include_walls,6,0.99,165.1,0.0
handcrafted,latest_strongest,avoid_walls,include_walls,6,0.8,163.1,0.0
handcrafted,latest_strongest,avoid_walls,False,6,0.99,160.4,0.0
handcrafted,latest_strongest,avoid_walls,include_walls,6,0.9,159.7,0.0
handcrafted,random,avoid_walls,include_walls,6,0.99,158.6,0.0
random,random,avoid_walls,exclude_walls,6,0.9,157.5,0.0
handcrafted,random,random,False,6,0.8,155.4,0.0
handcrafted,latest_strongest,avoid_walls,exclude_walls,6,0.9,154.9,0.0
handcrafted,random,random,exclude_walls,6,0.99,154.6,0.0
random,latest_strongest,avoid_walls,exclude_walls,6,0.99,150.5,0.0
random,random,avoid_walls,exclude_walls,6,0.8,150.1,0.0
random,random,avoid_walls,include_walls,6,0.8,145.2,0.0
random,latest_strongest,avoid_walls,False,6,0.9,142.9,0.0
random,latest_strongest,avoid_walls,include_walls,6,0.9,142.8,0.0
handcrafted,random,random,exclude_walls,6,0.8,142.6,0.0
handcrafted,latest_strongest,avoid_walls,exclude_walls,6,0.8,142.0,0.0
handcrafted,latest_strongest,random,False,6,0.99,141.9,0.0
handcrafted,latest_strongest,random,include_walls,6,0.99,141.0,0.0
random,random,avoid_walls,False,6,0.99,140.5,0.0
handcrafted,random,avoid_walls,exclude_walls,6,0.9,139.7,0.0
handcrafted,random,random,False,6,0.9,139.4,0.0
handcrafted,random,avoid_walls,False,6,0.9,137.5,0.0
episodic,latest,avoid_walls,False,6,0.8,136.4,0.0
episodic,latest,avoid_walls,False,6,0.9,136.4,0.0
episodic,latest,avoid_walls,False,6,0.99,136.4,0.0
handcrafted,random,avoid_walls,exclude_walls,6,0.8,136.1,0.0
handcrafted,latest_strongest,random,False,6,0.8,135.9,0.0
random,random,avoid_walls,include_walls,6,0.9,135.9,0.0
random,latest_strongest,avoid_walls,False,6,0.8,135.3,0.0
handcrafted,latest,avoid_walls,include_walls,6,0.99,134.7,0.0
handcrafted,latest_strongest,random,exclude_walls,6,0.9,134.6,0.0
handcrafted,latest_strongest,avoid_walls,False,6,0.9,134.5,0.0
handcrafted,latest_strongest,random,False,6,0.9,133.0,0.0
handcrafted,latest_strongest,random,exclude_walls,6,0.99,132.1,0.0
handcrafted,random,avoid_walls,include_walls,6,0.8,131.9,0.0
random,latest_strongest,random,exclude_walls,6,0.99,131.6,0.0
handcrafted,random,random,include_walls,6,0.8,130.6,0.0
random,latest_strongest,avoid_walls,exclude_walls,6,0.9,130.6,0.0
handcrafted,latest,avoid_walls,False,6,0.8,130.4,0.0
handcrafted,random,avoid_walls,False,6,0.8,128.2,0.0
random,random,avoid_walls,exclude_walls,6,0.99,127.8,0.0
handcrafted,random,random,include_walls,6,0.99,127.6,0.0
random,random,avoid_walls,False,6,0.8,126.6,0.0
random,latest_strongest,avoid_walls,include_walls,6,0.99,126.5,0.0
handcrafted,latest,avoid_walls,False,6,0.99,124.2,0.0
handcrafted,random,random,include_walls,6,0.9,124.0,0.0
handcrafted,latest,avoid_walls,include_walls,6,0.9,123.8,0.0
handcrafted,latest_strongest,avoid_walls,exclude_walls,6,0.99,123.6,0.0
random,latest_strongest,avoid_walls,include_walls,6,0.8,123.3,0.0
handcrafted,latest,avoid_walls,exclude_walls,6,0.9,122.8,0.0
handcrafted,random,avoid_walls,False,6,0.99,122.4,0.0
handcrafted,random,avoid_walls,exclude_walls,6,0.99,122.4,0.0
handcrafted,latest_strongest,random,include_walls,6,0.8,122.2,0.0
handcrafted,random,random,False,6,0.99,121.7,0.0
random,latest_strongest,avoid_walls,exclude_walls,6,0.8,121.7,0.0
random,latest_strongest,random,False,6,0.99,121.7,0.0
handcrafted,latest,avoid_walls,include_walls,6,0.8,120.0,0.0
random,latest_strongest,avoid_walls,False,6,0.99,119.6,0.0
random,random,random,exclude_walls,6,0.9,115.9,0.0
handcrafted,latest_strongest,random,exclude_walls,6,0.8,114.8,0.0
random,random,avoid_walls,False,6,0.9,113.8,0.0
random,latest_strongest,random,False,6,0.9,113.4,0.0
handcrafted,latest_strongest,random,include_walls,6,0.9,113.3,0.0
random,random,random,include_walls,6,0.8,111.8,0.0
handcrafted,latest,avoid_walls,False,6,0.9,110.6,0.0
handcrafted,latest,avoid_walls,exclude_walls,6,0.8,110.6,0.0
random,latest_strongest,random,include_walls,6,0.8,110.5,0.0
random,latest_strongest,random,include_walls,6,0.9,108.4,0.0
random,latest_strongest,random,exclude_walls,6,0.9,108.0,0.0
handcrafted,latest,random,exclude_walls,6,0.9,106.7,0.0
random,random,random,False,6,0.8,106.6,0.0
random,latest,avoid_walls,exclude_walls,6,0.99,106.1,0.0
random,random,random,include_walls,6,0.9,104.9,0.0
random,latest,avoid_walls,False,6,0.9,103.3,0.0
handcrafted,latest,random,False,6,0.9,103.1,0.0
random,random,avoid_walls,include_walls,6,0.99,103.1,0.0
random,random,random,exclude_walls,6,0.99,102.8,0.0
random,latest,avoid_walls,include_walls,6,0.9,102.7,0.0
handcrafted,latest,avoid_walls,exclude_walls,6,0.99,102.4,0.0
handcrafted,latest,random,include_walls,6,0.99,102.2,0.0
handcrafted,latest,random,False,6,0.8,101.8,0.0
random,latest_strongest,random,include_walls,6,0.99,101.0,0.0
random,latest_strongest,random,False,6,0.8,100.5,0.0
random,latest,random,False,6,0.99,100.0,0.0
random,latest,avoid_walls,False,6,0.8,98.5,0.0
random,random,random,False,6,0.99,97.5,0.0
handcrafted,random,random,exclude_walls,6,0.9,96.9,0.0
handcrafted,latest,random,exclude_walls,6,0.99,96.3,0.0
handcrafted,latest,random,False,6,0.99,96.0,0.0
random,latest,avoid_walls,exclude_walls,6,0.9,95.8,0.0
handcrafted,latest,random,include_walls,6,0.8,95.6,0.0
random,random,random,exclude_walls,6,0.8,94.0,0.0
random,latest,avoid_walls,include_walls,6,0.99,93.7,0.0
random,latest,random,False,6,0.9,93.1,0.0
semantic,strongest,avoid_walls,False,6,0.8,92.4,0.0
random,latest,avoid_walls,include_walls,6,0.8,91.0,0.0
random,latest_strongest,random,exclude_walls,6,0.8,90.6,0.0
random,random,random,include_walls,6,0.99,90.6,0.0
random,latest,random,exclude_walls,6,0.9,90.1,0.0
random,latest,random,include_walls,6,0.9,89.8,0.0
random,latest,avoid_walls,False,6,0.99,89.4,0.0
handcrafted,latest,random,exclude_walls,6,0.8,89.2,0.0
random,latest,random,exclude_walls,6,0.99,88.7,0.0
handcrafted,latest,random,include_walls,6,0.9,88.3,0.0
random,latest,avoid_walls,exclude_walls,6,0.8,87.6,0.0
semantic,strongest,random,exclude_walls,6,0.9,86.2,0.0
semantic,strongest,avoid_walls,exclude_walls,6,0.8,85.3,0.0
random,latest,random,include_walls,6,0.8,84.2,0.0
semantic,strongest,avoid_walls,include_walls,6,0.9,84.0,0.0
random,random,random,False,6,0.9,83.9,0.0
random,latest,random,False,6,0.8,79.4,0.0
random,latest,random,include_walls,6,0.99,79.1,0.0
semantic,strongest,random,False,6,0.9,77.7,0.0
semantic,strongest,avoid_walls,exclude_walls,6,0.9,77.2,0.0
semantic,strongest,random,exclude_walls,6,0.8,76.5,0.0
semantic,strongest,avoid_walls,False,6,0.9,76.1,0.0
semantic,strongest,random,False,6,0.8,74.8,0.0
semantic,strongest,avoid_walls,include_walls,6,0.8,74.3,0.0
episodic,latest,random,False,6,0.8,73.5,0.0
episodic,latest,random,False,6,0.9,73.5,0.0
episodic,latest,random,False,6,0.99,73.5,0.0
semantic,strongest,avoid_walls,exclude_walls,6,0.99,72.7,0.0
random,latest,random,exclude_walls,6,0.8,71.6,0.0
semantic,strongest,random,include_walls,6,0.8,70.8,0.0
random,strongest,random,exclude_walls,6,0.99,69.8,0.0
semantic,strongest,avoid_walls,False,6,0.99,65.9,0.0
semantic,strongest,random,False,6,0.99,65.7,0.0
handcrafted,strongest,random,False,6,0.99,63.8,0.0
semantic,strongest,random,include_walls,6,0.99,63.8,0.0
semantic,strongest,random,include_walls,6,0.9,62.9,0.0
handcrafted,strongest,random,include_walls,6,0.99,60.6,0.0
handcrafted,strongest,random,exclude_walls,6,0.99,57.3,0.0
semantic,strongest,random,exclude_walls,6,0.99,54.7,0.0
random,strongest,random,include_walls,6,0.8,53.7,0.0
handcrafted,strongest,random,False,6,0.8,51.2,0.0
handcrafted,strongest,random,False,6,0.9,50.5,0.0
random,strongest,random,False,6,0.99,50.0,0.0
random,strongest,avoid_walls,exclude_walls,6,0.99,49.9,0.0
handcrafted,strongest,random,include_walls,6,0.8,48.9,0.0
random,strongest,random,False,6,0.9,47.1,0.0
random,strongest,random,include_walls,6,0.9,46.7,0.0
handcrafted,strongest,avoid_walls,include_walls,6,0.8,46.6,0.0
handcrafted,strongest,random,exclude_walls,6,0.8,46.5,0.0
semantic,strongest,avoid_walls,include_walls,6,0.99,46.5,0.0
random,strongest,random,False,6,0.8,46.0,0.0
handcrafted,strongest,random,exclude_walls,6,0.9,45.7,0.0
random,strongest,avoid_walls,include_walls,6,0.9,45.3,0.0
random,strongest,random,exclude_walls,6,0.9,44.3,0.0
random,strongest,avoid_walls,False,6,0.9,44.2,0.0
random,strongest,random,exclude_walls,6,0.8,43.2,0.0
handcrafted,strongest,random,include_walls,6,0.9,43.0,0.0
handcrafted,strongest,avoid_walls,False,6,0.8,42.7,0.0
random,strongest,avoid_walls,False,6,0.8,42.4,0.0
random,strongest,random,include_walls,6,0.99,42.1,0.0
handcrafted,strongest,avoid_walls,include_walls,6,0.9,41.3,0.0
random,strongest,avoid_walls,exclude_walls,6,0.9,39.7,0.0
random,strongest,avoid_walls,exclude_walls,6,0.8,39.0,0.0
handcrafted,strongest,avoid_walls,False,6,0.99,37.7,0.0
random,strongest,avoid_walls,include_walls,6,0.8,36.8,0.0
random,strongest,avoid_walls,False,6,0.99,35.6,0.0
random,strongest,avoid_walls,include_walls,6,0.99,35.2,0.0
handcrafted,strongest,avoid_walls,exclude_walls,6,0.8,33.8,0.0
handcrafted,strongest,avoid_walls,exclude_walls,6,0.9,33.2,0.0
handcrafted,strongest,avoid_walls,include_walls,6,0.99,31.5,0.0
handcrafted,strongest,avoid_walls,False,6,0.9,26.0,0.0
handcrafted,strongest,avoid_walls,exclude_walls,6,0.99,21.2,0.0
handcrafted,random,avoid_walls,exclude_walls,12,0.8,231.3,0.0
handcrafted,latest_strongest,avoid_walls,include_walls,12,0.8,228.6,0.0
