mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
random,latest,avoid_walls,False,2,0.7,355.06000000000006,21.728009572899214
random,latest,avoid_walls,False,2,0.8,355.05999999999995,21.728009572899214
random,latest,avoid_walls,False,2,0.9,355.05999999999995,21.728009572899214
random,latest,avoid_walls,False,2,0.99,355.05999999999995,21.728009572899214
handcrafted,latest_strongest,random,include_walls,2,0.7,341.4,10.595848243533878
random,latest,avoid_walls,exclude_walls,2,0.7,339.4,20.616886282850764
random,latest,avoid_walls,exclude_walls,2,0.8,339.4,20.616886282850764
random,latest,avoid_walls,exclude_walls,2,0.9,339.4,20.616886282850764
random,latest,avoid_walls,exclude_walls,2,0.99,339.4,20.616886282850764
handcrafted,latest,random,include_walls,2,0.7,338.58000000000004,10.613463148284827
random,latest_strongest,random,include_walls,2,0.7,336.2,35.50081689200969
handcrafted,latest_strongest,random,include_walls,2,0.8,329.82000000000005,10.960182480232705
handcrafted,latest,random,include_walls,2,0.8,327.28,10.914100970762547
random,latest_strongest,random,include_walls,2,0.8,326.2,16.7791537331297
random,latest_strongest,random,include_walls,2,0.99,326.2,16.7791537331297
random,latest_strongest,random,include_walls,2,0.9,326.19999999999993,16.779153733129704
handcrafted,random,random,False,2,0.99,325.44,22.524706435378903
handcrafted,random,random,False,2,0.9,325.43999999999994,22.524706435378903
random,latest_strongest,random,exclude_walls,2,0.9,324.46000000000004,27.191366276816634
random,latest_strongest,random,exclude_walls,2,0.99,324.46000000000004,27.191366276816634
random,latest_strongest,random,exclude_walls,2,0.8,324.46,27.191366276816634
handcrafted,latest_strongest,random,include_walls,2,0.9,323.91999999999996,10.083729468802696
handcrafted,latest,random,include_walls,2,0.9,321.34000000000003,10.095266217391192
handcrafted,random,random,False,2,0.7,321.03999999999996,39.36031503938961
handcrafted,latest_strongest,random,include_walls,2,0.99,319.38,14.975366439590047
handcrafted,random,random,include_walls,2,0.7,318.96,39.86078774936592
handcrafted,latest,random,include_walls,2,0.99,316.96,14.985139305325127
handcrafted,random,random,False,2,0.8,315.82,26.554653076250116
handcrafted,random,random,include_walls,2,0.8,312.56000000000006,46.186863933373964
handcrafted,random,random,include_walls,2,0.9,310.96000000000004,46.5177213543398
handcrafted,random,random,include_walls,2,0.99,310.96000000000004,46.5177213543398
random,latest_strongest,random,exclude_walls,2,0.7,310.28,13.171393244452151
handcrafted,random,random,exclude_walls,2,0.8,307.84000000000003,16.453400864259034
handcrafted,latest_strongest,random,exclude_walls,2,0.8,307.34000000000003,32.42231330426625
handcrafted,latest_strongest,random,exclude_walls,2,0.9,306.64,32.28080544224384
handcrafted,latest,random,exclude_walls,2,0.8,304.7,32.348786685129326
handcrafted,latest,random,exclude_walls,2,0.9,304.23999999999995,32.26475476429351
random,latest,random,include_walls,2,0.7,303.02,34.00319984942594
random,latest_strongest,random,False,2,0.7,301.28000000000003,28.050910858651267
handcrafted,latest_strongest,random,False,2,0.9,300.94,20.87396464498299
handcrafted,latest_strongest,random,False,2,0.99,300.41999999999996,19.97732714854518
handcrafted,random,random,exclude_walls,2,0.9,300.22,14.554916695055322
handcrafted,random,random,exclude_walls,2,0.99,300.21999999999997,14.554916695055322
handcrafted,latest_strongest,random,False,2,0.8,300.06000000000006,19.36497869867148
random,random,random,exclude_walls,2,0.7,299.5,20.112284803074953
handcrafted,latest,random,False,2,0.9,298.32,20.84028790588078
handcrafted,latest,random,False,2,0.99,297.8,19.941614779149663
handcrafted,latest,random,False,2,0.8,297.44000000000005,19.327762415758325
random,random,random,False,2,0.99,296.92,25.90261762834018
random,random,random,False,2,0.8,296.91999999999996,25.902617628340185
random,random,random,False,2,0.9,296.91999999999996,25.902617628340185
random,latest_strongest,random,False,2,0.8,296.7,17.78909778487937
